id;opath;error;offset;spdist;pgeom;cpath;tpath;mgeom;ep;tp;length;duration;speed
28;1541;0.000387481;0.00455505;;LINESTRING(-76.452056403 38.3560885948);1541;;LINESTRING(-76.452056403 38.3560885948,-76.452056403 38.3560885948);0.999999999998;0;0.00744511676731;;
29;1541;0.000387481;0.00455505;;LINESTRING(-76.452056403 38.3560885948);1541;;LINESTRING(-76.452056403 38.3560885948,-76.452056403 38.3560885948);0.999999999998;0;0.00744511676731;;
30;1541;0.000385584;0.00455836;;LINESTRING(-76.4520580488 38.3560857234);1541;;LINESTRING(-76.4520580488 38.3560857234,-76.4520580488 38.3560857234);0.999999999998;0;0.00744511676731;;
31;1541;0.000385584;0.00455836;;LINESTRING(-76.4520580488 38.3560857234);1541;;LINESTRING(-76.4520580488 38.3560857234,-76.4520580488 38.3560857234);0.999999999998;0;0.00744511676731;;
32;1541;0.000385584;0.00455836;;LINESTRING(-76.4520580488 38.3560857234);1541;;LINESTRING(-76.4520580488 38.3560857234,-76.4520580488 38.3560857234);0.999999999998;0;0.00744511676731;;
33;1541;0.000378965;0.00455457;;LINESTRING(-76.4520561621 38.356089015);1541;;LINESTRING(-76.4520561621 38.356089015,-76.4520561621 38.356089015);0.999999999998;0;0.00744511676731;;
34;1541;0.000378965;0.00455457;;LINESTRING(-76.4520561621 38.356089015);1541;;LINESTRING(-76.4520561621 38.356089015,-76.4520561621 38.356089015);0.999999999998;0;0.00744511676731;;
35;1541;0.000378965;0.00455457;;LINESTRING(-76.4520561621 38.356089015);1541;;LINESTRING(-76.4520561621 38.356089015,-76.4520561621 38.356089015);0.999999999998;0;0.00744511676731;;
36;1541;0.000378965;0.00455457;;LINESTRING(-76.4520561621 38.356089015);1541;;LINESTRING(-76.4520561621 38.356089015,-76.4520561621 38.356089015);0.999999999998;0;0.00744511676731;;
37;1541;0.000378965;0.00455457;;LINESTRING(-76.4520561621 38.356089015);1541;;LINESTRING(-76.4520561621 38.356089015,-76.4520561621 38.356089015);0.999999999998;0;0.00744511676731;;
38;1541;0.000378965;0.00455457;;LINESTRING(-76.4520561621 38.356089015);1541;;LINESTRING(-76.4520561621 38.356089015,-76.4520561621 38.356089015);0.999999999998;0;0.00744511676731;;
39;1541;0.000378965;0.00455457;;LINESTRING(-76.4520561621 38.356089015);1541;;LINESTRING(-76.4520561621 38.356089015,-76.4520561621 38.356089015);0.999999999998;0;0.00744511676731;;
40;1541;0.000372346;0.00455077;;LINESTRING(-76.4520542755 38.3560923066);1541;;LINESTRING(-76.4520542755 38.3560923066,-76.4520542755 38.3560923066);0.999999999998;0;0.00744511676731;;
41;1541;0.000372346;0.00455077;;LINESTRING(-76.4520542755 38.3560923066);1541;;LINESTRING(-76.4520542755 38.3560923066,-76.4520542755 38.3560923066);0.999999999998;0;0.00744511676731;;
42;1541;0.000372346;0.00455077;;LINESTRING(-76.4520542755 38.3560923066);1541;;LINESTRING(-76.4520542755 38.3560923066,-76.4520542755 38.3560923066);0.999999999998;0;0.00744511676731;;
43;1541;0.000372346;0.00455077;;LINESTRING(-76.4520542755 38.3560923066);1541;;LINESTRING(-76.4520542755 38.3560923066,-76.4520542755 38.3560923066);0.999999999998;0;0.00744511676731;;
44;1541;0.000372346;0.00455077;;LINESTRING(-76.4520542755 38.3560923066);1541;;LINESTRING(-76.4520542755 38.3560923066,-76.4520542755 38.3560923066);0.999999999998;0;0.00744511676731;;
45;1541;0.000372346;0.00455077;;LINESTRING(-76.4520542755 38.3560923066);1541;;LINESTRING(-76.4520542755 38.3560923066,-76.4520542755 38.3560923066);0.999999999998;0;0.00744511676731;;
46;1541;0.000370449;0.00455408;;LINESTRING(-76.4520559213 38.3560894352);1541;;LINESTRING(-76.4520559213 38.3560894352,-76.4520559213 38.3560894352);0.999999999998;0;0.00744511676731;;
47;1541;0.000370449;0.00455408;;LINESTRING(-76.4520559213 38.3560894352);1541;;LINESTRING(-76.4520559213 38.3560894352,-76.4520559213 38.3560894352);0.999999999998;0;0.00744511676731;;
48;1541;0.000363829;0.00455029;;LINESTRING(-76.4520540347 38.3560927268);1541;;LINESTRING(-76.4520540347 38.3560927268,-76.4520540347 38.3560927268);0.999999999998;0;0.00744511676731;;
